City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
bluff,-46.6,168.3333,61.0,63,63,13.0,NZ,1610084396
burnie,-41.0667,145.9167,71.01,63,2,15.99,AU,1610084397
boueni,-12.9025,45.0761,84.2,79,0,3.44,YT,1610084397
mataura,-46.1927,168.8643,61.0,63,90,13.0,NZ,1610084397
talnakh,69.4865,88.3972,-12.75,88,100,14.07,RU,1610084226
loandjili,-4.7561,11.8578,75.13,83,99,3.09,CG,1610084178
barrow,71.2906,-156.7887,-9.4,77,20,4.61,US,1610084389
zarand,30.8127,56.564,35.37,61,0,1.3,IR,1610084399
new norfolk,-42.7826,147.0587,75.0,37,1,3.0,AU,1610084110
khewra,32.6479,73.0106,61.18,43,0,0.36,PK,1610084399
upernavik,72.7868,-56.1549,-4.58,91,78,7.34,GL,1610084115
acajutla,13.5928,-89.8275,76.78,75,78,3.38,SV,1610084400
albany,42.6001,-73.9662,25.0,75,12,1.01,US,1610084400
mabaruma,8.2,-59.7833,73.76,98,100,3.29,GY,1610084400
busselton,-33.65,115.3333,105.01,15,16,5.01,AU,1610084401
torbay,47.6666,-52.7314,42.01,100,90,10.36,CA,1610084122
tapiramuta,-11.8472,-40.7914,66.49,96,51,5.86,BR,1610084401
punta arenas,-53.15,-70.9167,48.2,76,90,16.11,CL,1610084402
chuy,-33.6971,-53.4616,65.39,88,0,6.42,UY,1610084402
awbari,26.5921,12.7805,56.25,48,53,2.48,LY,1610084403
konjic,43.6519,17.9614,41.0,100,90,4.32,BA,1610084403
touros,-5.1989,-35.4608,77.0,83,40,3.44,BR,1610084404
gaeta,41.2183,13.5628,45.0,93,100,4.9,IT,1610084404
norman wells,65.282,-126.8329,-5.8,77,1,4.61,CA,1610084404
port-cartier,50.0334,-66.8654,21.2,68,93,12.66,CA,1610084406
dwarka,22.2394,68.9678,71.22,40,0,18.14,IN,1610084309
marsa matruh,31.3525,27.2453,59.0,88,75,3.44,EG,1610084222
vaini,-21.2,-175.2,82.4,83,75,5.75,TO,1610084406
rikitea,-23.1203,-134.9692,78.46,70,62,1.14,PF,1610084406
constitucion,-35.3333,-72.4167,57.63,63,4,5.97,CL,1610084207
karratha,-20.7377,116.8463,97.93,35,37,16.17,AU,1610084168
leh,34.1667,77.5833,16.16,79,96,3.65,IN,1610084408
daoukro,7.0591,-3.9631,71.71,95,53,2.28,CI,1610084408
guerrero negro,27.9769,-114.0611,57.24,74,0,4.12,MX,1610084409
saint george,37.1041,-113.5841,39.2,38,1,4.05,US,1610084410
hobart,-42.8794,147.3294,73.0,55,20,19.57,AU,1610084411
nixa,37.0434,-93.2944,32.0,87,100,5.99,US,1610084411
ushuaia,-54.8,-68.3,51.8,58,75,3.44,AR,1610084256
castro,-24.7911,-50.0119,64.47,97,100,3.15,BR,1610084412
tromso,69.6496,18.957,24.8,63,75,17.27,NO,1610084412
pallasovka,50.05,46.8833,32.76,96,100,18.05,RU,1610084413
vila velha,-20.3297,-40.2925,77.0,83,0,11.5,BR,1610084413
avarua,-21.2078,-159.775,80.6,74,20,9.22,CK,1610084413
hilo,19.7297,-155.09,71.6,78,1,4.61,US,1610083851
jamestown,42.097,-79.2353,25.0,93,90,5.75,US,1610084234
kapaa,22.0752,-159.319,73.4,78,40,3.44,US,1610084414
cherskiy,68.75,161.3,-14.64,89,92,2.48,RU,1610084162
provideniya,64.3833,-173.3,-7.96,82,4,4.43,RU,1610084414
victoria,22.2855,114.1577,51.01,48,86,1.99,HK,1610084183
cayenne,4.9333,-52.3333,73.4,100,90,2.3,GF,1610084415
mirabad,30.4362,61.8383,40.35,49,0,14.94,AF,1610084415
kupang,-10.1667,123.5833,87.8,70,40,3.44,ID,1610084415
vao,-22.6667,167.4833,79.27,85,88,18.37,NC,1610084276
lodja,-3.4833,23.4333,69.35,96,100,3.33,CD,1610084416
qaanaaq,77.484,-69.3632,-7.89,85,100,15.28,GL,1610084416
san joaquin,37.9333,-121.3011,46.0,87,90,6.91,US,1610084417
