City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
limon,10.0,-83.0333,75.22,82,100,5.95,CR,1610163351
arraial do cabo,-22.9661,-42.0278,76.62,89,85,3.36,BR,1610163351
poum,-20.2333,164.0167,83.61,76,90,10.13,NC,1610163352
port alfred,-33.5906,26.891,71.01,95,8,4.74,ZA,1610163338
begoro,6.3871,-0.3774,70.95,96,60,4.09,GH,1610163352
bengkulu,-3.8004,102.2655,76.95,93,99,10.07,ID,1610163353
vacha,55.8008,42.7706,15.71,98,67,6.13,RU,1610163353
bredasdorp,-34.5322,20.0403,60.8,94,35,3.44,ZA,1610163205
goderich,43.7501,-81.7165,23.0,80,90,8.05,CA,1610163353
puerto colombia,10.9878,-74.9547,78.8,89,40,8.05,CO,1610163353
saint george,37.1041,-113.5841,42.01,35,1,4.61,US,1610163084
muros,42.7762,-9.0603,39.0,82,84,5.01,ES,1610163354
kapaa,22.0752,-159.319,77.0,65,1,12.66,US,1610163354
stolac,43.0844,17.9575,37.4,87,0,3.44,BA,1610163354
provideniya,64.3833,-173.3,-7.02,83,78,6.4,RU,1610163354
barrow,71.2906,-156.7887,-4.0,77,75,6.91,US,1610163342
north myrtle beach,33.816,-78.68,41.0,100,90,9.22,US,1610163355
qaanaaq,77.484,-69.3632,1.6,87,100,9.24,GL,1610163204
rikitea,-23.1203,-134.9692,79.05,74,81,10.76,PF,1610163198
ushuaia,-54.8,-68.3,55.4,44,40,16.11,AR,1610163325
kodiak,57.79,-152.4072,32.0,86,90,8.05,US,1610163356
fortuna,40.5982,-124.1573,44.6,100,1,4.29,US,1610163356
norman wells,65.282,-126.8329,5.0,85,20,8.05,CA,1610163356
georgetown,5.4112,100.3354,84.99,65,20,5.75,MY,1610163357
punta arenas,-53.15,-70.9167,50.0,66,75,16.11,CL,1610163197
dikson,73.5069,80.5464,-12.82,86,0,11.03,RU,1610163357
carnarvon,-24.8667,113.6333,89.6,62,52,12.66,AU,1610163357
aklavik,68.2191,-135.0107,10.4,85,99,4.61,CA,1610163357
howell,42.6073,-83.9294,26.01,93,90,3.44,US,1610163208
gambo,4.6482,22.2633,63.57,83,100,1.95,CF,1610163358
lompoc,34.6391,-120.4579,55.0,87,1,10.16,US,1610163358
mahebourg,-20.4081,57.7,78.8,83,40,12.66,MU,1610163358
half moon bay,37.4636,-122.4286,52.0,93,40,4.61,US,1610163358
chicama,-7.8447,-79.1469,70.3,80,86,5.77,PE,1610163359
mataura,-46.1927,168.8643,61.0,72,85,15.01,NZ,1610163319
saskylakh,71.9167,114.0833,-11.88,88,100,10.83,RU,1610163359
namibe,-15.1961,12.1522,71.02,76,100,5.91,AO,1610163359
casper,42.8666,-106.3131,21.0,79,1,11.5,US,1610163075
estelle,29.8458,-90.1067,45.0,70,1,9.22,US,1610163360
mokrousovo,55.8103,66.7653,-1.32,92,100,11.39,RU,1610163360
mar del plata,-38.0023,-57.5575,60.01,82,0,3.44,AR,1610163164
albany,42.6001,-73.9662,19.99,75,12,6.6,US,1610163122
alyangula,-13.8483,136.4192,89.6,66,40,6.91,AU,1610163361
monrovia,6.3005,-10.7969,78.66,84,5,4.88,LR,1610163362
sulangan,11.1373,123.7228,81.28,77,55,4.0,PH,1610163362
swanzey,42.8698,-72.2818,25.0,58,1,12.66,US,1610163362
ilulissat,69.2167,-51.1,6.8,56,100,26.46,GL,1610163363
atuona,-9.8,-139.0333,77.83,75,9,19.19,PF,1610163363
tumalim,14.0801,120.7231,84.0,61,75,2.3,PH,1610163363
ouesso,1.6136,16.0517,70.43,85,73,1.77,CG,1610163363
sao paulo de olivenca,-3.3783,-68.8725,72.57,98,100,1.95,BR,1610163364
hermanus,-34.4187,19.2345,68.0,84,3,3.0,ZA,1610163364
lagoa,39.05,-27.9833,55.56,58,46,6.76,PT,1610163364
sibolga,1.7427,98.7792,83.32,69,100,2.62,ID,1610163364
cabo san lucas,22.8909,-109.9124,68.0,77,1,2.3,MX,1610163200
lebu,-37.6167,-73.65,53.6,83,52,13.44,CL,1610163321
tessalit,20.1986,1.0114,69.75,21,0,7.72,ML,1610163365
sept-iles,50.2001,-66.3821,26.6,68,79,8.05,CA,1610163365
cape town,-33.9258,18.4232,66.0,88,0,6.91,ZA,1610163079
souillac,-20.5167,57.5167,78.8,83,40,12.66,MU,1610163366
yuancheng,36.652,107.7896,15.93,60,3,2.35,CN,1610163366
alofi,-19.0595,-169.9187,86.0,70,23,14.97,NU,1610163366
adrar,20.5022,-10.0711,67.26,45,0,8.93,MR,1610163333
takoradi,4.8845,-1.7554,77.74,89,76,8.08,GH,1610163367
cap malheureux,-19.9842,57.6142,79.0,82,13,8.99,MU,1610163367
jamestown,42.097,-79.2353,23.0,93,75,8.05,US,1610163344
puerto ayora,-0.7393,-90.3518,73.0,93,68,8.41,EC,1610163321
avarua,-21.2078,-159.775,84.2,65,20,9.22,CK,1610163367
hobart,-42.8794,147.3294,80.01,52,20,19.57,AU,1610163309
vaini,-21.2,-175.2,84.2,84,40,9.22,TO,1610163347
severo-kurilsk,50.6789,156.125,25.47,87,100,13.8,RU,1610163368
sola,-13.8833,167.55,87.8,74,75,2.3,VU,1610163369
mumford,5.2618,-0.759,78.51,88,100,10.49,GH,1610163369
new norfolk,-42.7826,147.0587,80.01,21,22,8.01,AU,1610163369
mahibadhoo,3.7833,72.9667,82.2,73,31,4.74,MV,1610163369
broome,42.2506,-75.833,19.0,79,40,12.66,US,1610163370
graaff-reinet,-32.2522,24.5308,64.99,89,19,1.48,ZA,1610163370
tiksi,71.6872,128.8694,-14.93,89,100,13.09,RU,1610163370
yellowknife,62.456,-114.3525,-2.2,78,1,5.75,CA,1610163210
ratangarh,28.0833,74.6,61.02,46,75,13.51,IN,1610163371
busselton,-33.65,115.3333,99.0,25,37,3.0,AU,1610163371
oranjestad,12.524,-70.027,78.8,89,20,11.5,AW,1610163371
tari,12.4086,4.4914,72.5,22,54,9.95,NG,1610163372
saint-pierre,-21.3393,55.4781,78.8,57,0,3.44,RE,1610163372
bluff,-46.6,168.3333,61.0,72,98,15.01,NZ,1610163209
atasu,48.6814,71.6433,-14.64,80,32,3.96,KZ,1610163372
san quintin,30.4833,-115.95,58.42,78,0,9.71,MX,1610163372
chalons-en-champagne,48.9539,4.3672,33.8,93,90,5.75,FR,1610163373
torbay,47.6666,-52.7314,36.0,93,90,18.41,CA,1610163317
madingou,-4.1536,13.55,73.04,95,93,2.28,CG,1610163373
ailigandi,9.2333,-78.0167,79.45,84,100,11.79,PA,1610163373
leningradskiy,69.3833,178.4167,-20.33,79,0,3.06,RU,1610163374
ust-kuyga,70.0167,135.6,-15.93,87,100,1.63,RU,1610163374
hithadhoo,-0.6,73.0833,81.55,78,54,13.31,MV,1610163374
cidreira,-30.1811,-50.2056,74.21,61,0,10.8,BR,1610163374
namatanai,-3.6667,152.4333,84.96,66,100,9.22,PG,1610163375
tasiilaq,65.6145,-37.6368,12.2,57,0,6.91,GL,1610163375
sao felix do xingu,-6.6447,-51.995,72.9,80,96,1.14,BR,1610163375
talnakh,69.4865,88.3972,-15.83,87,99,6.15,RU,1610163375
kavieng,-2.5744,150.7967,84.7,71,93,11.05,PG,1610163376
lixourion,38.2019,20.4314,60.98,88,76,7.96,GR,1610163376
washougal,45.5826,-122.3534,43.0,93,75,1.74,US,1610163376
luderitz,-26.6481,15.1594,64.85,72,5,13.15,NA,1610163376
varhaug,58.6147,5.6457,23.0,80,75,8.05,NO,1610163376
victoria,22.2855,114.1577,52.0,31,24,1.99,HK,1610163139
airai,-8.9266,125.4092,70.54,94,100,1.12,TL,1610163377
longyearbyen,78.2186,15.6401,21.2,73,75,8.05,SJ,1610163360
ritchie,-29.038,24.6028,69.8,78,0,9.22,ZA,1610163377
marsh harbour,26.5412,-77.0636,72.5,70,36,20.09,BS,1610163377
bambous virieux,-20.3428,57.7575,79.0,83,40,12.66,MU,1610163378
thinadhoo,0.5333,72.9333,81.52,80,88,11.7,MV,1610163378
oktyabrskiy,54.4815,53.471,19.45,97,98,7.74,RU,1610163378
